1	cmn	我們試試看！	qdii	\N	2011-07-02 19:20:59
2	cmn	我该去睡觉了。	sysko	\N	2011-07-02 19:20:23
3	cmn	你在干什麼啊？	sacredceltic	\N	2011-06-01 20:30:10
4	cmn	這是什麼啊？	Archibald	\N	2010-07-18 21:54:38
5	cmn	今天是６月１８号，也是Muiriel的生日！	lukaszpp	2010-08-14 22:24:23	2010-10-16 05:34:08
6	fra	bonjour	zmoo	2010-09-30 01:24:41	2010-09-30 01:36:45
7	eng	It is a pain in the neck	RaspaKrusto	\N	2011-04-06 20:31:55
8	spa	Hola todos.	Bruno	\N	2011-07-02 19:20:59
9	eng	Hey everybody.	Sushiman	\N	2011-07-10 02:13:04
10	fra	Il n’y a plus de pain à la maison.	Eldad	\N	2010-11-25 17:24:53
